event_name,r_fighter,b_fighter,weight_class,is_title_bout
UFC 175: Weidman vs Machida,Ronda Rousey,Alexis Davis,UFC Women's Bantamweight Title,1
UFC 174: Johnson vs Bagautinov,Demetrious Johnson,Ali Bagautinov,UFC Flyweight Title,1
UFC Fight Night: Miocic vs Maldonado,Vitor Miranda,Antonio Carlos Junior,Ultimate Fighter Brazil 3 Heavyweight Tournament Title,1
UFC Fight Night: Miocic vs Maldonado,Marcio Alexandre Junior,Warlley Alves,Ultimate Fighter Brazil 3 Middleweight Tournament Title,1
UFC 173: Barao vs Dillashaw,Renan Barao,TJ Dillashaw,UFC Bantamweight Title,1
UFC 172: Jones vs Teixeira,Jon Jones,Glover Teixeira,UFC Light Heavyweight Title,1
UFC Fight Night: Bisping vs Kennedy,Sheldon Westcott,Elias Theodorou,TUF Nations Canada vs. Australia Middleweight Tournament Title,1
UFC Fight Night: Bisping vs Kennedy,Chad Laprise,Olivier Aubin-Mercier,TUF Nations Canada vs. Australia Welterweight Tournament Title,1
UFC 171: Hendricks vs Lawler,Johny Hendricks,Robbie Lawler,UFC Welterweight Title,1
UFC Fight Night: Kim vs Hathaway,Sai Wang,Zhang Lipeng,Ultimate Fighter China Welterweight Tournament Title,1
UFC 170: Rousey vs McMann,Ronda Rousey,Sara McMann,UFC Women's Bantamweight Title,1
UFC 169: Barao vs Faber 2,Renan Barao,Urijah Faber,UFC Bantamweight Title,1
UFC 169: Barao vs Faber 2,Jose Aldo,Ricardo Lamas,UFC Featherweight Title,1
UFC 168: Weidman vs Silva 2,Chris Weidman,Anderson Silva,UFC Middleweight Title,1
UFC 168: Weidman vs Silva 2,Ronda Rousey,Miesha Tate,UFC Women's Bantamweight Title,1
UFC on FOX: Johnson vs. Benavidez 2,Demetrious Johnson,Joseph Benavidez,UFC Flyweight Title,1
The Ultimate Fighter: Team Rousey vs. Team Tate Finale,Julianna Pena,Jessica Rakoczy,Ultimate Fighter 18 Women's Bantamweight Tournament Title,1
The Ultimate Fighter: Team Rousey vs. Team Tate Finale,Chris Holdsworth,Davey Grant,Ultimate Fighter 18 Bantamweight Tournament Title,1
UFC 167: St-Pierre vs Hendricks,Georges St-Pierre,Johny Hendricks,UFC Welterweight Title,1
UFC 166: Velasquez vs Dos Santos 3,Cain Velasquez,Junior Dos Santos,UFC Heavyweight Title,1
UFC 165: Jones vs Gustafsson,Jon Jones,Alexander Gustafsson,UFC Light Heavyweight Title,1
UFC 165: Jones vs Gustafsson,Renan Barao,Eddie Wineland,UFC Interim Bantamweight Title,1
UFC 164: Henderson vs Pettis 2,Benson Henderson,Anthony Pettis,UFC Lightweight Title,1
UFC 163: Aldo vs Jung,Jose Aldo,Chan Sung Jung,UFC Featherweight Title,1
UFC on FOX: Johnson vs Moraga,Demetrious Johnson,John Moraga,UFC Flyweight Title,1
UFC 162: Silva vs Weidman,Anderson Silva,Chris Weidman,UFC Middleweight Title,1
UFC on FUEL TV: Nogueira vs. Werdum,William Macario,Leonardo Santos,Ultimate Fighter Brazil 2 Welterweight Tournament Title,1
UFC 160: Velasquez vs Silva 2,Cain Velasquez,Antonio Silva,UFC Heavyweight Title,1
UFC 159: Jones vs Sonnen,Jon Jones,Chael Sonnen,UFC Light Heavyweight Title,1
UFC on FOX: Henderson vs Melendez,Benson Henderson,Gilbert Melendez,UFC Lightweight Title,1
The Ultimate Fighter: Team Jones vs. Team Sonnen Finale,Uriah Hall,Kelvin Gastelum,Ultimate Fighter 17 Middleweight Tournament Title,1
UFC 158: St-Pierre vs Diaz,Georges St-Pierre,Nick Diaz,UFC Welterweight Title,1
UFC 157: Rousey vs Carmouche,Ronda Rousey,Liz Carmouche,UFC Women's Bantamweight Title,1
UFC on FUEL TV: Barao vs McDonald,Renan Barao,Michael McDonald,UFC Interim Bantamweight Title,1
UFC 156: Aldo vs Edgar,Jose Aldo,Frankie Edgar,UFC Featherweight Title,1
UFC on FOX: Johnson vs Dodson,Demetrious Johnson,John Dodson,UFC Flyweight Title,1
UFC 155: Dos Santos vs Velasquez II,Junior Dos Santos,Cain Velasquez,UFC Heavyweight Title,1
The Ultimate Fighter: Team Carwin vs. Team Nelson Finale,Colton Smith,Mike Ricci,Ultimate Fighter 16 Welterweight Tournament Title,1
UFC on FX: Sotiropoulos vs Pearson,Robert Whittaker,Brad Scott,Ultimate Fighter Australia vs. UK Welterweight Tournament Title,1
UFC on FX: Sotiropoulos vs Pearson,Colin Fletcher,Norman Parke,Ultimate Fighter Australia vs. UK Lightweight Tournament Title,1
UFC on FOX: Henderson vs Diaz,Benson Henderson,Nate Diaz,UFC Lightweight Title,1
UFC 154: St-Pierre vs Condit,Georges St-Pierre,Carlos Condit,UFC Welterweight Title,1
UFC 152: Jones vs Belfort,Jon Jones,Vitor Belfort,UFC Light Heavyweight Title,1
UFC 152: Jones vs Belfort,Joseph Benavidez,Demetrious Johnson,UFC Flyweight Title,1
UFC 150: Henderson vs Edgar II,Benson Henderson,Frankie Edgar,UFC Lightweight Title,1
UFC 149: Faber vs Barao,Urijah Faber,Renan Barao,UFC Interim Bantamweight Title,1
UFC 148: Silva vs Sonnen 2,Anderson Silva,Chael Sonnen,UFC Middleweight Title,1
UFC 147: Silva vs Franklin 2,Cezar Ferreira,Sergio Moraes,Ultimate Fighter Brazil 1 Middleweight Tournament Title,1
UFC 147: Silva vs Franklin 2,Godofredo Pepey,Rony Jason,Ultimate Fighter Brazil 1 Featherweight Tournament Title,1
The Ultimate Fighter: Live Finale,Michael Chiesa,Al Iaquinta,Ultimate Fighter 15 Lightweight Tournament Title,1
UFC 146: Dos Santos vs Mir,Junior Dos Santos,Frank Mir,UFC Heavyweight Title,1
UFC 145: Jones vs Evans,Jon Jones,Rashad Evans,UFC Light Heavyweight Title,1
UFC 144: Edgar vs Henderson,Frankie Edgar,Benson Henderson,UFC Lightweight Title,1
UFC 143: Diaz vs Condit,Nick Diaz,Carlos Condit,UFC Interim Welterweight Title,1
UFC 142: Aldo vs Mendes,Jose Aldo,Chad Mendes,UFC Featherweight Title,1
UFC 140: Jones vs Machida,Jon Jones,Lyoto Machida,UFC Light Heavyweight Title,1
